CryoSleep,Age,VIP,Transported,Group,PeopleId,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Deck,Num,Side,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Destination_55 Cancri e,Destination_PSO J318.5-22,Destination_TRAPPIST-1e
0.0,39.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,B,0.0,P,0,1,0,0,0,1
0.0,24.0,0.0,1.0,2.0,1.0,109.0,9.0,25.0,549.0,44.0,F,0.0,S,1,0,0,0,0,1
0.0,58.0,1.0,0.0,3.0,1.0,43.0,3576.0,0.0,6715.0,49.0,A,0.0,S,0,1,0,0,0,1
0.0,33.0,0.0,0.0,3.0,2.0,0.0,1283.0,371.0,3329.0,193.0,A,0.0,S,0,1,0,0,0,1
0.0,16.0,0.0,1.0,4.0,1.0,303.0,70.0,151.0,565.0,2.0,F,1.0,S,1,0,0,0,0,1
0.0,44.0,0.0,1.0,5.0,1.0,0.0,483.0,0.0,291.0,0.0,F,0.0,P,1,0,0,0,1,0
0.0,26.0,0.0,1.0,6.0,1.0,42.0,1539.0,3.0,0.0,0.0,F,2.0,S,1,0,0,0,0,1
1.0,28.0,0.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,211.23112485005856,G,0.0,S,1,0,0,0,0,1
0.0,35.0,0.0,1.0,7.0,1.0,0.0,785.0,17.0,216.0,0.0,F,3.0,S,1,0,0,0,0,1
1.0,14.0,0.0,1.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,B,1.0,P,0,1,0,1,0,0
1.0,34.0,0.0,1.0,8.0,2.0,0.0,0.0,165.11516985436012,0.0,0.0,B,1.0,P,0,1,0,0,0,1
0.0,45.0,0.0,1.0,8.0,3.0,39.0,7295.0,589.0,110.0,124.0,B,1.0,P,0,1,0,1,0,0
0.0,32.0,0.0,1.0,9.0,1.0,73.0,0.0,1123.0,0.0,113.0,F,1.0,P,0,0,1,0,0,1
0.0,48.0,0.0,0.0,10.0,1.0,719.0,1.0,65.0,0.0,24.0,G,1.0,S,1,0,0,0,0,1
0.0,28.0,0.0,1.0,11.0,1.0,8.0,974.0,12.0,2.0,7.0,F,2.0,P,1,0,0,0,0,1
0.0,27.0,0.0,0.0,14.0,1.0,1286.0,122.0,218.42584806906547,0.0,0.0,F,3.0,P,0,0,1,1,0,0
0.0,24.0,0.0,0.0,15.0,1.0,0.0,1.0,0.0,0.0,637.0,F,4.0,P,1,0,0,1,0,0
1.0,45.0,0.0,1.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,F,5.0,P,0,0,1,0,0,1
0.0,0.0,0.0,1.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,G,0.0,P,1,0,0,0,0,1
0.0,14.0,0.0,0.0,17.0,2.0,412.0,0.0,1.0,0.0,679.0,F,6.0,P,1,0,0,1,0,0
1.0,1.0,0.0,0.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,E,0.0,S,1,0,0,0,0,1
1.0,49.0,0.0,0.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,E,0.0,S,1,0,0,1,0,0
1.0,29.0,0.0,0.0,20.0,3.0,0.0,0.0,165.11516985436012,0.0,0.0,E,0.0,S,1,0,0,1,0,0
0.0,10.0,0.0,1.0,20.0,4.0,0.0,0.0,0.0,0.0,0.0,E,0.0,S,1,0,0,0,0,1
1.0,1.0,0.0,0.0,20.0,5.0,219.05307504996182,0.0,0.0,0.0,0.0,E,0.0,S,1,0,0,0,1,0
0.0,7.0,0.0,0.0,20.0,6.0,0.0,0.0,0.0,0.0,0.0,E,0.0,S,1,0,0,0,0,1
0.0,21.0,0.0,0.0,22.0,1.0,980.0,2.0,69.0,0.0,0.0,D,0.0,P,0,0,1,0,0,1
1.0,62.0,0.0,1.0,24.0,1.0,0.0,0.0,165.11516985436012,0.0,0.0,C,2.0,S,0,1,0,0,0,1
0.0,15.0,0.0,0.0,25.0,1.0,0.0,225.0,0.0,998.0,0.0,F,6.0,S,1,0,0,0,0,1
0.0,34.0,0.0,0.0,26.0,1.0,22.0,6073.0,0.0,1438.0,328.0,C,0.0,P,0,1,0,1,0,0
0.0,43.0,0.0,0.0,28.0,1.0,1125.0,0.0,136.0,48.0,0.0,F,8.0,P,0,0,1,0,0,1
0.0,32.0,0.0,0.0,30.0,1.0,0.0,850.0,81.0,437.0,453.0,G,4.0,S,1,0,0,0,0,1
0.0,47.0,0.0,1.0,31.0,1.0,214.0,0.0,1411.0,0.0,1229.0,F,9.0,P,0,0,1,0,0,1
0.0,2.0,0.0,1.0,31.0,2.0,0.0,0.0,0.0,0.0,0.0,F,9.0,P,0,0,1,0,0,1
0.0,20.0,0.0,1.0,31.0,3.0,317.1451518083848,0.0,1750.0,990.0,0.0,F,9.0,P,0,0,1,0,0,1
1.0,28.0,0.0,1.0,34.0,1.0,0.0,0.0,0.0,0.0,0.0,D,1.0,S,0,1,0,1,0,0
0.0,23.0,0.0,0.0,35.0,1.0,784.0,964.0,0.0,951.0,0.0,D,1.0,P,0,0,1,1,0,0
0.0,15.0,0.0,0.0,36.0,1.0,0.0,492.0,48.0,20.0,401.0,F,8.0,S,1,0,0,1,0,0
0.0,20.0,0.0,0.0,38.0,1.0,554.0,195.0,0.0,2606.0,0.0,F,10.0,S,1,0,0,1,0,0
1.0,30.0,0.0,0.0,39.0,1.0,0.0,0.0,165.11516985436012,0.0,0.0,G,1.0,P,1,0,0,1,0,0
1.0,17.0,0.0,1.0,41.0,1.0,0.0,0.0,0.0,0.0,0.0,G,2.0,P,1,0,0,0,0,1
